Episode Reward,Penalties,Simulation Steps,Validation Reward,Distance Travelled
-10.363370533048178,-20,15,-16.20132654546008, 0
9.416354697765502,-20,23,-14.795169605703379, 0
78.27631797303042,-20,66,1.2329008244687714, 0
2.4008526085066073,-20,21,18.344782127366166, 0
-19.35106562870661,-20,4,25.68135341782985, 0
-5.239591172432325,-20,40,27.149083094585166, 0
-18.828568897221974,-20,5,26.812194897537104, 0
13.611548912203727,-20,39,27.011764875108565, 0
-14.67359079386067,-20,17,35.6096858349339, 0
83.52535514655202,0,57,27.150483013355018, 0
20.79714903855472,-20,33,-5.6253695462236575, 0
29.37673046165058,0,50,-11.206389232648103, 0
83.4428848132302,0,81,-11.58979162360213, 0
60.61605876621937,0,50,23.707936375747018, 0
56.990828943778446,0,50,-5.7879553278066815, 0
23.484323481514306,0,50,28.619091672160607, 0
59.27375348045331,0,50,57.18733342809026, 0
27.842333488007633,-20,39,40.95100252206341, 0
39.78032242168857,0,50,30.07823782767947, 0
47.5816829772537,0,50,-12.502948620146533, 0
49.15316554100862,0,50,33.01584371978584, 0
65.03597027295915,0,50,24.66123789504452, 0
37.3559186301986,0,50,-7.891793136326061, 0
-2.099371483333993,-20,20,23.199292933585703, 0
61.278581051415145,0,50,22.629744811646628, 0
32.75303764487171,0,50,-0.32577591672656325, 0
97.05209400587421,0,79,34.52117161937071, 0
33.977107382050484,0,50,27.772274132352745, 0
30.8976637133432,0,50,-0.7230081596177165, 0
87.03666068732274,0,79,38.35552068551609, 0
50.664225989816956,0,50,1.612570661967208, 0
41.63641465859954,0,50,66.06500348778391, 0
37.43643632391112,0,50,8.634593897171971, 0
91.82923935476401,-20,49,2.841554064229104, 0
102.22293306911574,0,79,17.287752230264438, 0
58.030982810171885,0,58,28.003861301692446, 0
65.63176710554167,0,56,3.247364124947641, 0
65.85427998936511,0,59,18.312118049554655, 0
98.06883544756619,0,80,5.327831028044489, 0
57.99698455437176,0,58,-0.9957456757438834, 0
41.839841591865536,0,50,4.582393901026361, 0
60.46058506576698,0,52,-6.8689195809637695, 0
147.59810915619283,0,44,8.783871345037888, 0
79.59036782219786,0,68,-9.671860778530624, 0
37.43618393733508,0,50,0.8938519166559651, 0
40.15058568107873,0,50,-12.25399148863012, 0
36.50335369163291,0,50,-14.838147942346033, 0
-13.792538686299464,-20,8,-5.905798381253282, 0
-0.31525412055587765,-20,8,-12.25377804891298, 0
-18.699962826080988,-20,2,-12.239773077016503, 0
48.402151681241456,0,50,52.504296873747215, 0
43.794480356172336,0,50,37.23377633906336, 0
39.45006361352124,0,50,5.547381562465251, 0
-15.985263797322215,-20,12,-14.836555467876073, 0
-18.391943137995476,-20,3,-13.257322291993606, 0
45.44214825722219,0,50,-7.087142170233573, 0
35.91788932268468,-20,36,-12.240113192069169, 0
26.9114019973799,0,50,-9.13578075325968, 0
119.31459173265928,0,57,-12.92289095629668, 0
47.25676521491072,0,82,44.515953686316905, 0
18.83697871944441,0,50,-3.197510481113916, 0
46.747585902940045,0,50,23.96370802395173, 0
19.775919851794416,0,50,24.604648461176527, 0
46.130029915082346,0,50,-2.428761310063887, 0
17.558021214466688,0,79,23.97677753190505, 0
-19.460030445598864,-20,12,30.04033741867453, 0
-19.94318136493033,-20,2,33.64709050503541, 0
-17.980842770799427,-20,44,0.8459019799381196, 0
-18.19267959326409,-20,41,-14.83598095404287, 0
4.818244770269304,0,80,-14.832439673787302, 0
3.848813082311507,0,79,-10.521040996993412, 0
-18.17181431902475,-20,43,6.088481746095528, 0
-17.919432876134522,-20,27,12.842081926532416, 0
2.09558128258125,-20,36,-13.189367257559132, 0
1.2439751724206936,-20,24,2.4323758055509437, 0
-16.024309760920865,-20,50,109.52934959618479, 0
-19.71615297112767,-20,2,37.12643511936413, 0
-19.68008609921396,-20,3,5.61469269704628, 0
-19.943167732416036,-20,2,12.067899094619271, 0
-18.243737883684123,-20,8,10.026550545072848, 0
-19.713648178008352,-20,2,82.08390278869506, 0
4.755084999563332,0,79,0.5334581559702691, 0
4.475896801948608,0,80,-1.0541672181011137, 0
57.488504884891924,-20,64,37.16470769603802, 0
-19.943378046700953,-20,2,47.33156648250834, 0
-17.86358542874128,-20,11,68.45363267898092, 0
14.887109064356615,0,79,12.018301770062301, 0
84.90067458877607,-20,68,12.132517397676096, 0
198.07346522501382,0,79,46.777795438670935, 0
15.972434545229873,0,79,9.526907234704229, 0
5.73628140620918,0,79,-12.49919423851127, 0
-19.249421943013935,-20,14,63.00477372627418, 0
141.63831496775023,0,81,31.410798995876927, 0
-15.939064424038744,-20,22,64.1700174485444, 0
-19.544775488495233,-20,4,-9.556613415483765, 0
7.312673736525691,0,79,27.023601360762807, 0
18.754779655270713,0,50,2.398503914934029, 0
-17.935954825670954,-20,10,-7.151368288095103, 0
-19.810142160375694,-20,3,-3.3514817454622836, 0
-19.61477554372426,-20,3,-10.49028422568279, 0
12.905922712607563,0,80,2.4661733457372286, 0
28.423383345465346,-20,57,-12.767643083881875, 0
51.128953034840976,0,54,-4.854484244542748, 0
49.345842302470594,0,59,24.26326280039015, 0
-19.564651834129748,-20,4,0.19125405366545323, 0
22.434278956328694,0,50,-16.970541224869717, 0
81.29532775217037,0,61,1.6688312236248457, 0
-16.037868603115808,-20,21,24.40380454408136, 0
7.346651519246984,0,90,29.964290540560633, 0
-8.84490745191143,-20,64,-10.389673788346869, 0
8.356677882684002,0,107,-7.151990285663418, 0
