Episode Reward,Penalties,Simulation Steps,Validation Reward
-11.587914761189655,-20,16,39.731217733568464
0,0,1,61.653770828319054
70.8834230615093,0,50,14.583622675956107
91.99557873507707,0,50,106.72813861725398
0,0,1,-2.03696779479146
-16.625735512007353,-20,12,1.3219889650414434
0,0,1,1.30382013327195
-19.71742174556693,-20,2,140.5122193524786
0,0,1,-2.0355444126531133
84.8990750045213,0,50,40.22276810007697
1.138021681545176,-20,37,67.89038974771566
0,0,1,16.21065105589884
73.07398721044068,0,50,61.785803717928246
59.22226824836111,0,50,1.3747039926507405
25.916316262976373,0,50,4.6071878735040475
75.24990958999757,0,50,34.499545025195914
102.43507973171907,0,50,11.243661234195876
0,0,1,50.58075213265961
83.09010323878357,0,50,1.3257254884543386
47.57816755047799,0,50,44.55943097239639
105.92024746321196,0,50,11.239470651525131
0,0,1,9.316766721920992
47.58190320721497,0,50,-2.013997547324462
79.06120793355134,0,50,45.05833051154073
109.19694299779478,0,50,41.09354039642694
0,0,1,-4.0163270760975305
0,0,1,20.75049577660014
88.74857855355502,0,50,151.00651402315287
51.63474450301645,0,50,93.8899886041041
0,0,1,17.86968821702692
0,0,1,151.8707924541044
0,0,1,31.623336402677808
38.948880798953546,0,50,49.16021254102246
0,0,1,12.711498446772453
43.50402396240684,0,50,31.561992144806062
35.68301998890599,0,50,42.581785068080556
77.44539917816356,0,50,44.98694260008503
0,0,1,168.02562656951852
49.16216233055004,0,50,174.00989530425082
44.11556666393853,0,50,14.933072829626308
0,0,1,45.47183595228406
-19.69812157963582,-20,2,14.133296918332217
0,0,1,100.55408291325095
38.49414915954736,0,50,1.324941874281837
0,0,1,298.9522925771191
-15.416944916747838,-20,3,15.968506426520047
77.26228675886298,0,50,1.3230352077573801
-5.197186986219647,-20,10,11.24296704700265
17.01739170475195,-20,21,17.91086483729615
96.44889792165773,0,50,42.88114272430985
51.911616747826834,0,50,1.3241294306036355
90.99236582102765,0,50,113.64929222905894
0,0,1,16.01983494193867
89.01547364399039,0,50,12.601667243036445
0,0,1,1.323010564680974
0,0,1,78.45342423398304
89.62434658673234,0,50,27.455777992888876
87.61229184338411,0,50,123.04603240041456
0,0,1,5.903749247957526
56.94567748947799,0,50,50.98799465496083
0,0,1,39.7462689887822
53.973389951344,0,50,8.05733440711414
87.26551535337511,0,50,7.930255685123512
70.26594567724243,0,50,1.3044463374240625
0,0,1,2.6330673323392038
-18.825409911781446,-20,5,11.245012443111769
81.69112794441597,0,50,14.93254028879976
-14.421041259059555,-20,20,38.61564643208922
44.07879770838098,0,50,24.780589196508046
63.30089829729671,0,50,14.58007304879376
0,0,1,31.71424190460766
