#{"t_start": 1718225542.3209193, "env_id": "None"}
r,l,t
-8.0,13,33399.599897
228.0,45,33451.235595
210.0,42,33499.570301
256.0,49,33557.105385
196.0,44,33607.664962
234.0,46,33660.310493
62.0,23,33686.99273
36.0,19,33709.115227
214.0,43,33758.48039
78.0,25,33787.546234
220.0,45,33839.210256
62.0,23,33866.048332
48.0,21,33891.902296
-2.0,14,33908.401236
34.0,19,33930.714722
20.0,17,33950.630214
28.0,20,33974.181441
172.0,37,34017.012443
190.0,41,34064.294168
180.0,38,34107.967527
28.0,18,34128.750639
78.0,25,34157.766251
218.0,43,34208.635466
48.0,24,34236.591599
-22.0,11,34249.758346
180.0,38,34293.704316
194.0,40,34341.365248
30.0,18,34362.353411
50.0,21,34386.797565
-22.0,11,34399.863209
44.0,20,34423.302991
218.0,43,34472.951556
246.0,47,34527.215467
172.0,40,34698.480615
78.0,25,34893.480203
78.0,25,35083.481579
80.0,27,35295.481193
24.0,17,35433.480826
92.0,27,35641.480121
302.0,55,36050.481128
86.0,26,36182.636503
-2.0,14,36199.04138
14.0,16,36217.848403
-8.0,13,36233.205167
26.0,18,36254.229121
228.0,66,36329.596578
172.0,37,36372.42574
220.0,45,36424.212175
56.0,22,36449.635206
156.0,36,36491.243638
194.0,40,36613.652387
158.0,35,36654.030364
174.0,37,36696.477749
-24.0,11,36709.513737
240.0,46,36762.07326
246.0,47,36816.004818
48.0,21,36841.852456
-70.0,5,36848.172204
30.0,18,36869.144028
-6.0,13,36884.582069
104.0,29,36918.097394
66.0,23,36944.954413
116.0,31,36980.756293
218.0,43,37030.184313
240.0,46,37082.869973
136.0,33,37121.219779
0.0,14,37137.689314
260.0,49,37194.165379
192.0,40,37240.159844
150.0,34,37279.331362
78.0,25,37308.691993
78.0,25,37337.616103
234.0,47,37391.4732
304.0,57,37456.720761
56.0,25,37485.543499
18.0,17,37505.382937
30.0,18,37526.540704
78.0,25,37555.544363
116.0,30,37591.505516
